year,wiki_ref,wiki_query,producer,distributor,name,country,director,cinematography,editing,studio,budget,gross,runtime,music,writer,starring,language,released
2016,/wiki/Desierto,Desierto,"['Alfonso Cuar_n', 'Carlos Cuar_n', 'Jons Cuar_n', 'Alex Garcia', 'Charles Gillibert']",['STXfilms'],Desierto,"['Mexico', 'France']",['Jons Cuar_n'],['Damian Garcia'],['Damian Garcia'],"['Esperanto Filmoj', 'Esperanto Kino', 'CG Cinema', 'Orange S.A.', 'Orange Studio', 'Itaca Films', 'Lava Bear Films', 'IM Global']",3000000,4900000,88,['Woodkid'],"['Jons Cuar_n', 'Mateo Garcia']","['Gael Garc_a Bernal', 'Jeffrey Dean Morgan', 'Alondra Hidalgo', 'Diego Catao']",{{Plainlist|* English* Spanish}},{{Film date|2015|09|13|[[2015 Toronto International Film Festival|TIFF]]|2016|04|15|Mexico|df|=|y}}
2016,/wiki/Little_Sister_(2016_film),Little_Sister_(2016_film),"['Zach Clark', 'Daryl Pittman', 'Melodie Sisk']",['Forager Films'],Little Sister,['United States'],['Zach Clark'],['Daryl Pittman'],['Daryl Pittman'],[],,,91,['Fritz Myers'],['Zach Clark'],"['Addison Timlin', 'Ally Sheedy', 'Keith Poulson', 'Peter Hedges', 'Barbara Crampton']",English,{{Film date|2016|03|12|SXSW|2016|10|14|US}}
2016,/wiki/Max_Steel_(film),Max_Steel_(film),[],['Open Road Films'],Max Steel,"['United States', 'United Kingdom']",['Stewart Hendler'],['Brett Pawlak'],['Brett Pawlak'],[],10000000,6300000,92,['Nathan Lanier'],"['Christopher Yost', 'Christopher L. Yost']","['Ben Winchell', 'Maria Bello', 'Ana Villafae', 'Josh Brener', 'Andy Garc_a']",English,{{Film date|2016|10|14}}
2016,/wiki/The_River_Thief,The_River_Thief,[],[],,[],[],[],[],[],,,,[],[],[],,
2016,/wiki/Jack_Reacher:_Never_Go_Back,Jack_Reacher:_Never_Go_Back,[],['Paramount Pictures'],Jack Reacher: Never Go Back,['United States'],['Edward Zwick'],"['Oliver Wood', 'Oliver Wood']","['Oliver Wood', 'Oliver Wood']",[],96000000,162100000,118,['Henry Jackman'],[],"['Tom Cruise', 'Cobie Smulders']",English,{{film date|2016|10|16|[[New Orleans]]|2016|10|21|United States}}
2016,/wiki/Boo!_A_Madea_Halloween,Boo!_A_Madea_Halloween,"['Tyler Perry', 'Ozzie Areu', 'Will Areu']","['Lionsgate Films', 'Lionsgate']",Boo! A Madea Halloween,['United States'],['Tyler Perry'],['Richard Vialet'],['Richard Vialet'],['Tyler Perry Studios'],20000000,74800000,103,['Elvin Ross'],['Tyler Perry'],"['Tyler Perry', 'Cassi Davis', 'Patrice Lovely', 'Yousef Erakat', 'Lexy Panterra', 'Andre Hall', 'Andre Hall', 'Liza Koshy', 'Diamond White', 'Diamond White', ""Brock O'Hurn"", 'Bella Thorne', 'Andrew Rush']",English,{{Film date|2016|10|21}}
2016,/wiki/Keeping_Up_with_the_Joneses_(film),Keeping_Up_with_the_Joneses_(film),[],['20th Century Fox'],Keeping Up with the Joneses,['United States'],['Greg Mottola'],"['Andrew Dunn', 'Andrew Dunn']","['Andrew Dunn', 'Andrew Dunn']",[],40000000,29900000,105,['Jake Monaco'],['Michael LeSieur'],"['Zach Galifianakis', 'Jon Hamm', 'Isla Fisher', 'Gal Gadot', 'Matt Walsh', 'Matt Walsh', 'Maribeth Monroe', 'Patton Oswalt', 'Kevin Dunn']",English,{{Film date|2016|10|08|[[Los Angeles]]|2016|10|21|United States}}
2016,/wiki/Ouija:_Origin_of_Evil,Ouija:_Origin_of_Evil,"['Michael Bay', 'Jason Blum', 'Stephen Davis', 'Andrew Form', 'Bradley Fuller', 'Brian Goldner']",['Universal Pictures'],Ouija: Origin of Evil,['United States'],"['Mike Flanagan', 'Mike Flanagan']",['Michael Fimognari'],['Michael Fimognari'],[],912000000,81700000,99,['The Newton Brothers'],"['Mike Flanagan', 'Jeff Howard']","['Elizabeth Reaser', 'Annalise Basso', 'Lulu Wilson', 'Parker Mack', 'Henry Thomas', 'Kate Siegel']",English,{{Film date|2016|10|21|United States}}
2016,/wiki/Moonlight_(2016_film),Moonlight_(2016_film),[],['A24'],Moonlight,['United States'],['Barry Jenkins'],['James Laxton'],['James Laxton'],"['A24', 'A24', 'Plan B Entertainment', 'Pastel Productions', 'Plan B Entertainment', 'Pastel Productions']",1540000,65300000,111,['Nicholas Britell'],[],"['Trevante Rhodes', 'Andr Holland', 'Janelle Mone', 'Ashton Sanders', 'Jharrel Jerome', 'Naomie Harris', 'Mahershala Ali']",English,{{film date|2016|9|2|[[Telluride Film Festival|Telluride]]|2016|10|21|United States}}
2016,/wiki/American_Pastoral_(film),American_Pastoral_(film),[],['Lionsgate'],American Pastoral,['United States'],['Ewan McGregor'],['Martin Ruhe'],['Martin Ruhe'],"['Lakeshore Entertainment', 'Lionsgate Films', 'Lionsgate']",10000000,1700000,108,['Alexandre Desplat'],[],"['Ewan McGregor', 'Jennifer Connelly', 'Dakota Fanning', 'Peter Riegert', 'Rupert Evans', 'Uzo Aduba', 'Molly Parker', 'David Strathairn']",English,{{Film date|2016|9|9|[[2016 Toronto International Film Festival|TIFF]]|2016|10|21|United States}}
